                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240909"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      562                  1.0000000000000001E-005                 -4.9999999999999991E+000                  5.9999999999999849E+000                  3.4076657160744311E+001                 -8.8383941018405690E+000                  0.0000000000000000E+000                  9.9999951939128562E-001                  1.6604819752646528E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999951939128562E-001                  1.6604819752646528E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2602172316807827E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2602172316807827E+001                 -1.2602172316807827E+001                 -3.8654152342251599E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6557557522691870E+000                  2.8542960515049169E+000                  1.6382896820785808E+000                  1.9396395135296138E+000                  0.0000000000000000E+000                  1.1007336961416842E+001                 -3.1542682599843870E+000                  6.0223375092544567E+000                  6.2153399956382105E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860811E-003                  9.3805276451495410E-003                  3.4468833607860802E-003                  9.3805276451495445E-003                  4.1999999999999984E+000                  1.6798212141884936E+000                                        0                                        2 
                                      10                                      567                  2.5958682111999997E-004                 -4.2873687855713758E+000                  5.9999999999996216E+000                  3.4076657160744283E+001                 -8.8372617837327319E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6625880802749876E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6625880802749876E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2602172221997677E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2602172221997677E+001                 -1.2602172221997677E+001                 -3.8654152018013320E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6560350350872328E+000                  2.8554129110457445E+000                  1.6382895462129041E+000                  1.9396397852609411E+000                  0.0000000000000000E+000                  1.1007336988972359E+001                 -3.1542682496690491E+000                  6.0223375252987603E+000                  6.2153399953172850E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  4.1999999999997231E+000                  1.6798212141883830E+000                                        0                                        2 
                                      20                                      567                  1.8668799962237366E-003                 -3.4955563250951283E+000                  5.9999999999972848E+000                  3.4076657160744119E+001                 -8.8374779856513381E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6617981487611771E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6617981487611771E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2602171610334151E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2602171610334151E+001                 -1.2602171610334151E+001                 -3.8654149926094888E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6559855565094335E+000                  2.8552131472079831E+000                  1.6382886214496211E+000                  1.9396416347873380E+000                  0.0000000000000000E+000                  1.1007337166636718E+001                 -3.1542681154216297E+000                  6.0223375687892382E+000                  6.2153399946590959E-001                  8.5000496627254174E-001                  1.2966429887659305E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  3.4468833607860776E-003                  9.3805276451495376E-003                  4.1999999999980959E+000                  1.6798212141877333E+000                                        0                                        2 
                                      30                                      567                  1.1818815689988481E-002                 -2.7037438646188803E+000                  5.9999999999828182E+000                  3.4076657160743068E+001                 -8.8375609903115109E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6607310585678766E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6607310585678766E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2602167821578908E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2602167821578908E+001                 -1.2602167821578908E+001                 -3.8654136968247599E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6559681927447722E+000                  2.8551414183942496E+000                  1.6382874845720770E+000                  1.9396439085413792E+000                  0.0000000000000000E+000                  1.1007338267007070E+001                 -3.1542672872151680E+000                  6.0223378410340258E+000                  6.2153399905146656E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860789E-003                  9.3805276451495428E-003                  3.4468833607860763E-003                  9.3805276451495341E-003                  4.1999999999879725E+000                  1.6798212141836852E+000                                        0                                        2 
                                      40                                      567                  7.3438578398454232E-002                 -1.9119314041426323E+000                  5.9999999998932516E+000                  3.4076657160736588E+001                 -8.8375785550265018E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6603773617478675E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6603773617478675E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2602144351379209E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2602144351379209E+001                 -1.2602144351379209E+001                 -3.8654056698130937E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6559659716801205E+000                  2.8551282111687644E+000                  1.6382853230886381E+000                  1.9396482315017736E+000                  0.0000000000000000E+000                  1.1007345082480747E+001                 -3.1542621219305889E+000                  6.0223394958080503E+000                  6.2153399655852337E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495393E-003                  3.4468833607860759E-003                  9.3805276451495341E-003                  4.1999999999252760E+000                  1.6798212141586075E+000                                        0                                        2 
                                      50                                      567                  4.5497190750010669E-001                 -1.1201189436663841E+000                  5.9999999993386988E+000                  3.4076657160696449E+001                 -8.8376020552943260E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6608685952807574E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6608685952807574E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2601998968980643E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2601998968980643E+001                 -1.2601998968980643E+001                 -3.8653559475799980E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6559671766824269E+000                  2.8551113291098726E+000                  1.6382744720545794E+000                  1.9396699335297509E+000                  0.0000000000000000E+000                  1.1007387294173276E+001                 -3.1542301553245369E+000                  6.0223497664614634E+000                  6.2153398106727342E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860759E-003                  9.3805276451495341E-003                  4.1999999995370922E+000                  1.6798212140033499E+000                                        0                                        2 
                                      60                                      567                  2.8173257176583335E+000                 -3.2830648319013606E-001                  5.9999999959057702E+000                  3.4076657160447965E+001                 -8.8377407018645702E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6555113870388837E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999954123709123E-001                  1.6555113870388837E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2601098904870909E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2601098904870909E+001                 -1.2601098904870909E+001                 -3.8650480119278797E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6559754029046596E+000                  2.8550114132766482E+000                  1.6382080616935015E+000                  1.9398027540034233E+000                  0.0000000000000000E+000                  1.1007648711304483E+001                 -3.1540322217898584E+000                  6.0224134042872066E+000                  6.2153388505975316E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  4.1999999971340429E+000                  1.6798212130422305E+000                                        0                                        2 
                                      70                                      567                  1.7444397846610435E+001                  4.6350597728611193E-001                  5.9999999746765420E+000                  3.4076657158911338E+001                 -8.8385976067791336E+000                  0.0000000000000000E+000                  9.9999956308289639E-001                  1.6638187681490255E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999956308289639E-001                  1.6638187681490255E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2595535102285535E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2595535102285535E+001                 -1.2595535102285535E+001                 -3.8631448453371569E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6560262644719406E+000                  2.8543938913116680E+000                  1.6377975775764499E+000                  1.9406237207009038E+000                  0.0000000000000000E+000                  1.1009265153612693E+001                 -3.1528082623439588E+000                  6.0228068477960486E+000                  6.2153329169987048E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860946E-003                  9.3805276451495376E-003                  4.1999999822735825E+000                  1.6798212070986804E+000                                        0                                        2 
                                      80                                      567                  1.0801137310051504E+002                  1.2553184377623601E+000                  5.9999998442383964E+000                  3.4076657149469909E+001                 -8.8438662072170189E+000                  0.0000000000000000E+000                  9.9999956308289639E-001                  1.7622408771650191E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999956308289639E-001                  1.7622408771650191E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2561427888381798E+001                 -9.8999999999999986E+001                 -2.7995789596750249E+001                 -1.2561427888381798E+001                 -1.2561427888381798E+001                 -3.8492912082551470E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6563374907818309E+000                  2.8506009414628086E+000                  1.6352786500322405E+000                  1.9456615663478949E+000                  0.0000000000000000E+000                  1.1019187442763517E+001                 -3.1452914861090400E+000                  6.0252186819068685E+000                  6.2152966358524064E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860759E-003                  9.3805276451495358E-003                  4.1999998909668772E+000                  1.6798211705798842E+000                                        0                                        2 
