                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     430                                     1456                  6.0000000000000000E+000                  2.0000000000000000E-002                  5.6215291674109802E+007                  1.0892375805701155E+004                  4.2299946507485110E+003                  2.0275145200713164E+003                  8.3840818808939488E+001                 -3.0447632526583684E-001                  2.6055193044047381E-035                  0.0000000000000000E+000                  9.7917527766097145E-001                  1.6021900610149536E-003                  1.2699528889660352E-002                  3.1793714125198278E-004                  2.1278444166609877E-003                  5.9992427186825212E+000                 -7.3278687392177485E-009                  3.4417639506469562E+000                  2.1022761236381168E-004                  2.4372002813486362E+000                  1.0768386114674721E-002                  2.8685179362416949E-002                  4.3645668103516125E-002                  1.2508782122270728E-002                  7.8312172796510005E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1368381159621398E+006                  4.9860231453934530E+003                  2.9589147990276795E+007                  1.9034628305943593E+003                  1.8980634368341964E+003                  5.2444904069225959E+000                  1.2917553519184716E+002                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.7740196885348875E+015                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240918"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                              temperature                                 pressure                                     prad                                     pgas                                       pp                                      cno                                tri_alpha                                  opacity                               luminosity                                     logL                          gradT_sub_grada                          gradT_div_grada                          gradT_sub_gradr                          gradT_div_gradr 
                                       1                  5.9992427186825212E+000                  1.9234555110812983E+000                  3.6263398239993685E+000                 -8.2483506195782965E+000                  3.1817809773020151E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2299947075595946E+003                  1.5197808829693611E+003                  8.0740059722346869E-001                  1.5189734823721376E+003                  8.2646173622255815E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268245079510496E-002                  2.0275145200713164E+003                  3.3069639730998492E+000                 -2.6769982675724435E-001                  3.1836694313651193E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                       2                  5.9992427186795219E+000                  1.9234555108972784E+000                  3.6263398483020408E+000                 -8.2483504494958311E+000                  3.1817811716716862E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2299949442657517E+003                  1.5197815631515605E+003                  8.0740077794871468E-001                  1.5189741623736118E+003                  8.2646205991276992E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268249677475628E-002                  2.0275145200713287E+003                  3.3069639730998515E+000                 -2.6769980718576430E-001                  3.1836699397498919E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                       3                  5.9992427186700228E+000                  1.9234555103145361E+000                  3.6263398976367709E+000                 -8.2483501042266862E+000                  3.1817815662441640E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2299954247822670E+003                  1.5197829439295222E+003                  8.0740114482336089E-001                  1.5189755427846987E+003                  8.2646271700760014E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268259011401458E-002                  2.0275145200713448E+003                  3.3069639730998550E+000                 -2.6769968323099558E-001                  3.1836731595737655E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                       4                  5.9992427186541484E+000                  1.9234555093407459E+000                  3.6263399593660330E+000                 -8.2483496722152019E+000                  3.1817820599456255E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2299960260206544E+003                  1.5197846716039892E+003                  8.0740160386940418E-001                  1.5189772700001197E+003                  8.2646353918581386E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268270690318373E-002                  2.0275145200713762E+003                  3.3069639730998617E+000                 -2.6769947609552242E-001                  3.1836785400826412E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                       5                  5.9992427186382757E+000                  1.9234555083669573E+000                  3.6263400602230220E+000                 -8.2483489663704184E+000                  3.1817828665832151E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2299970083603594E+003                  1.5197874943812371E+003                  8.0740235388706350E-001                  1.5189800920273501E+003                  8.2646488250880909E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268289772035076E-002                  2.0275145200714080E+003                  3.3069639730998688E+000                 -2.6769926895999829E-001                  3.1836839205927464E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                       6                  5.9992427186022796E+000                  1.9234555061586767E+000                  3.6263402002078968E+000                 -8.2483479866942204E+000                  3.1817839861552057E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2299983718031881E+003                  1.5197914122613274E+003                  8.0740339487832602E-001                  1.5189840088664491E+003                  8.2646674697554497E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268316256567493E-002                  2.0275145200714796E+003                  3.3069639730998839E+000                 -2.6769879923468770E-001                  3.1836961220812321E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                       7                  5.9992427185662835E+000                  1.9234555039504053E+000                  3.6263403963327829E+000                 -8.2483466141321227E+000                  3.1817855547173894E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2300002820465170E+003                  1.5197969013746838E+003                  8.0740485335453138E-001                  1.5189894965213293E+003                  8.2646935916854451E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268353362535588E-002                  2.0275145200715510E+003                  3.3069639730998994E+000                 -2.6769832950912675E-001                  3.1837083235757613E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                       8                  5.9992427185014154E+000                  1.9234554999709252E+000                  3.6263406485981196E+000                 -8.2483448486893796E+000                  3.1817875722649567E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2300027390953610E+003                  1.5198039617215018E+003                  8.0740672932120561E-001                  1.5189965549921806E+003                  8.2647271908489838E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268401089983481E-002                  2.0275145200716804E+003                  3.3069639730999270E+000                 -2.6769748302390139E-001                  3.1837303117006693E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                       9                  5.9992427184365473E+000                  1.9234554959914589E+000                  3.6263409613786886E+000                 -8.2483426597581282E+000                  3.1817900737777696E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2300057855608229E+003                  1.5198127157356348E+003                  8.0740905531437701E-001                  1.5190053066803205E+003                  8.2647688498572855E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268460266597302E-002                  2.0275145200718093E+003                  3.3069639730999545E+000                 -2.6769663653787512E-001                  3.1837522998449075E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                      10                  5.9992427183405583E+000                  1.9234554901028003E+000                  3.6263413346752440E+000                 -8.2483400473474049E+000                  3.1817930592475618E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2300094214515248E+003                  1.5198231634174222E+003                  8.0741183134354655E-001                  1.5190157515860785E+003                  8.2648185686603035E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268530892452653E-002                  2.0275145200720001E+003                  3.3069639730999953E+000                 -2.6769538393280967E-001                  3.1837848372497796E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                      11                  5.9992427182445685E+000                  1.9234554842141787E+000                  3.6263418946219126E+000                 -8.2483361287714381E+000                  3.1817975374140062E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2300148753113090E+003                  1.5198388349409267E+003                  8.0741599541884168E-001                  1.5190314189455080E+003                  8.2648931466621520E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268636831506629E-002                  2.0275145200721911E+003                  3.3069639731000362E+000                 -2.6769413132590325E-001                  3.1838173746990850E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                      12                  5.9992427180525878E+000                  1.9234554724370401E+000                  3.6263426412228488E+000                 -8.2483309040801238E+000                  3.1818035082314213E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2300221471876785E+003                  1.5198597303078800E+003                  8.0742154759263862E-001                  1.5190523087602874E+003                  8.2649925835861337E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268778084175725E-002                  2.0275145200725731E+003                  3.3069639731001184E+000                 -2.6769162610684738E-001                  3.1838824497242063E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                      13                  5.9992427178606080E+000                  1.9234554606600389E+000                  3.6263437144687898E+000                 -8.2483233937364808E+000                  3.1818120911385739E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2300326006009700E+003                  1.5198897674011321E+003                  8.0742952896212661E-001                  1.5190823378721700E+003                  8.2651355234031748E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0268981135911896E-002                  2.0275145200729551E+003                  3.3069639731002001E+000                 -2.6768912088059194E-001                  3.1839475249230675E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
                                      14                  5.9992427175006462E+000                  1.9234554385785445E+000                  3.6263451143736676E+000                 -8.2483135979078757E+000                  3.1818232859822273E+000                  6.9942221948098926E-001                  2.8039994530514478E-001                  2.0177835213865958E-002                  4.2300462357104670E+003                  1.5199289462263880E+003                  8.0743993970295047E-001                  1.5191215062866850E+003                  8.2653219651849676E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0269245988111207E-002                  2.0275145200736713E+003                  3.3069639731003533E+000                 -2.6768442356251843E-001                  3.1840695413756076E-001                  0.0000000000000000E+000                  1.0000000000000000E+000 
